title/price/description/image
Lexus RX/$ 26 000/2012 г., 3.5 л., автоматвнедорожник 5 дв., бензинруль слева/"https://im.mashina.kg/tachka/images//6/6/5/665d150dabd1c733c4d22f258ee47aef_240x180.jpg"
BMW X5/$ 36 999/2015 г., 3 л., автоматвнедорожник 5 дв., бензинруль слева, 89 000 км/"https://im.mashina.kg/tachka/images//5/5/2/552614b0fb9c93c05f92086d0b20a5e2_240x180.jpg"
Toyota Camry/$ 22 899/2019 г., 2.5 л., автоматседан, бензинруль слева, 71 000 км/"https://im.mashina.kg/tachka/images//a/3/1/a31e24e1d4ad1fafa52fbe46c3162fbc_240x180.jpg"
Mercedes-Benz S-класс/$ 10 000/1998 г., 5 л., автоматседан, бензинруль слева, 250 000 км/"https://im.mashina.kg/tachka/images//1/3/b/13b64cdb5ca8df4a67d3ae2acf0fd534_240x180.jpg"
Subaru Forester/$ 14 000/2015 г., 2.5 л., вариаторвнедорожник 5 дв., бензинруль слева, 98 170 км/"https://im.mashina.kg/tachka/images//d/a/2/da2b16291c3fb69f812704005431e4c7_240x180.jpg"
ВАЗ (Lada) 2110/$ 1 950/2013 г., 1.6 л., механикаседан, бензинруль слева/"https://im.mashina.kg/tachka/images//7/7/1/7716cdf96505412d32926f68fd8595e9_240x180.jpg"
Bentley Continental Flying Spur/$ 17 000/2006 г., 6 л., автоматседан, бензинруль слева/"https://im.mashina.kg/tachka/images//b/4/2/b4281fca3a6dd28c5fc7527095ff66c8_240x180.jpg"
Honda Stepwgn/$ 4 500/1997 г., 2 л., автоматминивэн, бензинруль справа/"https://im.mashina.kg/tachka/images//7/f/9/7f9a380a49183ef227b0b9f93ed3e38f_240x180.jpg"
Toyota Highlander/$ 38 999/2016 г., 3.5 л., вариаторвнедорожник 5 дв., гибридруль слева, 138 000 км/"https://im.mashina.kg/tachka/images//8/4/4/844af8ec49d531ff53e3b17b40df09cb_240x180.jpg"
Nissan Patrol/$ 23 500/2011 г., 5.6 л., автоматвнедорожник 5 дв., бензинруль слева, 170 017 км/"https://im.mashina.kg/tachka/images//f/c/1/fc1c9bba0103a73feba7f5700a41d56c_240x180.jpg"
Toyota Sequoia/$ 10 500/2001 г., 4.7 л., автоматвнедорожник 5 дв., бензинруль слева/"https://im.mashina.kg/tachka/images//9/6/8/96802cb957965367784dde4d4d08324d_240x180.jpg"
